Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $372.11/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0x5cfb82369ca685644a54218eee990352496f9a229a2a989e2bed9b030377129c,14231532,1641782292,1/10/2022 2:38,0x2a479056fac97b62806cc740b11774e6598b1649,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.000125775,0.046802135,425.03,,,Set Swap And Liquify Enabled
0xe2ed53aeff19a881ad83b16ca4f88fc67d3a3e3b9a23250d6334aba0706f7b63,14231560,1641782376,1/10/2022 2:39,0x817dfe4072afd8e0cf4f6ae082daaaf4143dd7a4,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0x2d7f1a6db2939a3c284cad5e8b9c89ac81785965b95ccbba4a19a4b08b5853d1,14231565,1641782391,1/10/2022 2:39,0xa3c4ffd5fb5f9f4c1da865ef2bd2b6ec65b6c235,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0xf9284eb48a0eb99e20c6370c9c390effe3dfda04f685717be252320bc7a0c0e2,14231596,1641782484,1/10/2022 2:41,0x88a8777351ad46de824b901a3923a57fc5680983,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0xa2599e4f9d8d617d9ba68882af73be5d45bbf15e329dc1647a22b220d3c80555,14231626,1641782574,1/10/2022 2:42,0xb94dbb81957db89b587bb2bdc8015751a7ee07e6,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0x67435545eea86348f4efcd394157ddca1d63b4044bf8dbec3b54bdc3ece1c65b,14231715,1641782841,1/10/2022 2:47,0x2a479056fac97b62806cc740b11774e6598b1649,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00012296,0.045754646,425.03,,,Set Excluded From Anti Whale
0xb1230a814f6bfd171391390a25cc5ad39ea1e30ba17c674fb86fc04a2ceb70de,14231815,1641783141,1/10/2022 2:52,0x2a479056fac97b62806cc740b11774e6598b1649,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00021788,0.081075327,425.03,,,Set Excluded From Anti Whale
0xa5a033896e5ff88a75d36f09b1f19fefd165fc3bbc7ef0b25cb6bcfdb84433e5,14231869,1641783303,1/10/2022 2:55,0xc7c7e4ac0fa13b17dda6a51b0d3a6009a8b91563,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0x27ef1a55e6bb4115822a5192982ac6095aa91e1863896a0da8bb752d0410b66b,14231884,1641783348,1/10/2022 2:55,0x78529a5325a7cbfe0208a6fe99a829ea28b09946,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0x751bd9568c6ffebe62e2e9c4166faa9d8e5fa68f1df2566933377f7bc3642f67,14231919,1641783453,1/10/2022 2:57,0x0f08a9d037ba3ced135cab651904f667ae932140,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0x4f1cf1d7a4b7793af0355d64fb06201fb81f80e7944c2caadafa3c48791d2526,14231941,1641783519,1/10/2022 2:58,0x2a479056fac97b62806cc740b11774e6598b1649,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.000196705,0.073195898,425.03,,,Mint
