HolderAddress,Balance,PendingBalanceUpdate
0x5cfc938f972ff50af166b191e407440fe4aff9bb,0.000272124,No
0x71e1604d63a1edbf8a99f89ce4945bb53293a72e,5.40E-06,No
0xf522d0796542e8bcc16e99cd3136b00452bfa1c8,0.000280063,No
0x7567dee7d5199f03e1490f43e8d8c68bce58fff3,222.4214492,No
0x78529a5325a7cbfe0208a6fe99a829ea28b09946,0.000105,No
0x4b3f84e844d93cbc4b00768d43cd2403a7f823ae,1.85E-05,No
0xcc2a45c6d92ad5bc2300c8eea1e3e2fc23b4ed28,7.00E-05,No
0xa96e3d67c02422fed61c81a9045efd998afff775,1.91E-05,No
0x0f08a9d037ba3ced135cab651904f667ae932140,4.32E-05,No
0x99e67c7ce766163f70a6ea3cc8ab250fd1b519e4,68.33333333,No
0x77e18e8bf311da07f8fd32c4959ee118c0ce3b56,0.000163486,No
0x816b5e55d41ab5368c84be07125dade79a2ccfc9,1.50E-05,No
0xe99dc6325a6ff34ba741b7c8246f5beda60c17e1,1529.919841,No
0xbe23d6611df520a94c0faadb5ccd58ad69a24cb0,6.666666667,No
0x894aa64cd05b06002d2120a31a16eda61c5eedf6,6.75E-05,No
0xad178fbee0383f1b5dd4cc31aec8e080a46ed188,8.96E-05,No
0x956c561017b56fd56a052e28e82613139a053cc4,4.250883679,No
0x3d4fda729dced3a78b17642f79f49d065771e90c,200,No
0x908a217fc3da8169ba8792633688a3131759857e,4970.066644,No
0x2a793206ec36db8f060cdd07d18b4567fb31e056,2.37E-05,No
0xf371a4ae49f7e822a25314d48f33278724ad9de1,0.278972116,No
0x0824af5798aa2b17998a79190decca5948708f0f,12.85714286,No
0xf44885e6cd651d5b66401d9532c9f8386c8b6790,75.5,No
0x7bd219d37ab5fd7f42709eef881f9aa79476be37,3.54E-05,No
0x7f1eff7aacf2060f034cd962e507a44726488392,333.3333333,No
0xe759c4ddefe5ad592b2875ff6b2f4333ff5f117d,3334.666667,No
0x07a768b6a76d3381fb61a2a021da3580f3dda8bb,4.79E-12,No
0xb0fea1a58045072d6529614d8223bd9567516f7b,43.77142857,No
0xf59bca3e92406c78559986b0b576e3a246440a4a,2.77E-05,No
0x49ede2f5874e02e99942675948c6b0fbd3ab9ac3,3.38E-06,No
0x8c9ff4c8a08d2d9eb1516a5e2134e2dfe4c6d661,6.52938212,No
0x4eed1931ae3434bf580479330ee8cd5195e9ba52,674.6666667,No
0xd5a5cbb2c496959536ffe2a6ade24ddb0d837d9f,8.40E-06,No
0x4b8279e44eac5dab0d7e242a3c467aade992613e,0.000232447,No
0xbce6ed6f560b4d2ece69f3f936e32d72f97a0b1a,350.6666667,No
0x670b1fec4740f412c763f5c4a22c15c85bf57d07,0.004390898,No
0x158605f71d08a50f9fec5c5a59232348f337f3a3,0.000154062,No
0x70090ab5e5fa90ac9e88f506e7bf6e7ffa179ca3,7.42E-06,No
0x7cf497a6c9702e6f3f3361a9617ecacb698461a4,7.07E-05,No
0x92289c8e63a3d9118daf910015b173e583cca62b,2.18E-05,No
0xf137f3409657c4dbe297b26d7d1a3233a7272d32,305.0080404,No
0x74885d1fcc291aab02c83767b98281f892e7ce9e,2579,No
0x3cc4f5c467e200c71b6b8b9d287739ae3be2029e,6.34E-05,No
0x4ad41fb0f62cdcb5f81b7741554169daf822ac67,0.105228412,No
0x30e7e5eb11b86a0a11de0a3954ac7f9834c958b7,22.33333333,No
0x2f5f6ae6d1c4596088f0fa4efa603d61659498c5,675,No
0xd645b460dfdaa50b9274669b1f3868eb578d73d8,0.00011928,No
0x2d90c05758c74d0e893d9ce234f9cafdd56f136b,2.80E-05,No
0x99c85bc8605c7ef649858ef5b1d6945127fbf546,3.46E-05,No
0x1ed2d2b7b98e605e1a7ae1c3a01ecb2492b10fcf,57.14285714,No
0xd829d47cf0da9f6f703d76cfd816127c5fadd3e2,2.43E-06,No
